pl_name,pl_orbper,pl_orbpererr1,pl_orbeccen,pl_orbeccenerr1,pl_orbincl,pl_orbinclerr1,pl_tranmid,pl_tranmiderr1,pl_ratdor,pl_ratdorerr1,pl_ratror,pl_ratrorerr1,pl_orblper,pl_orblpererr1,st_teff,st_met,st_logg
XO-7 b,2.8641424,0.0000043,0.038,0.033,83.45,0.29,2457917.475,0.00045,6.43,0.14,0.09532,0.00093,,,6250,0.432,4.25
XO-7 b,2.86413545,0.00000096,,,,,2458793.901,0.00012,,,,,,,,,
XO-7 b,2.8641324,0.0000007,,,,,2459962.467,0.000162,,,,,,,6082,,4.13
XO-7 b,2.8641413,0.000004,,,,,2459034.488,0.00015,6.08,0.12,0.0941,0.001,,,6250,0.432,4.25
XO-6 b,3.7650007,0.0000081,0,,86,0.2,2456652.712,0.00055,9.08,0.17,0.11,0.006,,,6720,-0.07,4.04
XO-6 b,3.7649939,0.0000013,,,,,2458843.939,0.00012,,,,,,,6720,-0.07,4.04
XO-6 b,3.7649925,0.0000014,,,,,2459032.189,0.000087,,,,,,,,,
XO-6 b,3.7649921,0.0000005,,,,,2459962.142,0.000102,,,,,,,6724,,4.29
XO-6 b,3.7649916,0.0000034,,,,,2459032.189,0.00015,8.17,0.07,0.1158,0.001,,,6720,-0.07,4.04
XO-5 b,4.1877558,0.0000006,0,,86.8,0.2,2456864.313,0.0002,,,0.1039,0.0007,,,5430,0.05,4.35
XO-5 b,4.18776,,0,,,,,,,,,,331.01,0.72,5470,0.05,
XO-5 b,,,0.013,0.014,,,,,,,,,184,92,,0.05,
XO-5 b,4.18783748,0.00018415,,,,,2459582.167,0.000546,,,,,,,5521.95,,4.34
XO-5 b,4.1877539,0.0000014,,,,,2455218.526,0.00045,,,,,,,,,
XO-5 b,4.187757,0.000011,,,87.04,0.65,,,9.9602,0.511,,,,,5370,0.05,4.34
XO-5 b,4.18775581,0.00000058,0.021,,86.7,0.4,2456864.314,0.00023,,,,,,,5370,0.05,
XO-5 b,4.187732,0.00002,,,86.8,0.9,2454485.666,0.0004,9.81,0.8,0.106,0.003,,,5510,0.25,4.52
XO-5 b,4.1877562,0.0000006,,,,,2455469.791,0.0003,,,,,,,5510,0.25,4.52
XO-5 b,4.187757,0.000011,,,86.7,0.4,2454552.672,0.00029,,,,,,,5370,,
XO-4 b,4.1250828,0.000004,0,,88.8,0.6,2454485.933,0.00039,7.68,0.11,0.0881,0.0007,,,,,
XO-4 b,4.1250679,0.0000006,,,,,2455682.204,0.00023,,,,,,,5700,-0.04,4.18
XO-4 b,4.1250622,0.0000019,,,,,2459959.896,0.000287,,,,,,,6304,,4.11
XO-4 b,4.12508,0.000004,0,,88.8,0.6,,,7.68,0.11,,,,,6397,-0.04,4.18
XO-4 b,4.1250672,0.000002,,,,,2455933.833,0.00085,,,,,,,,,
XO-4 b,,,0.002,0.012,,,,,,,,,240,39,,-0.03,
XO-4 b,4.1250828,0.000004,,,89.9,0.1,,,7.6923,0.3141,,,,,6397,-0.04,4.18
XO-4 b,4.12502,0.00002,,,89.9,0.1,,,7.6923,0.3141,,,,,6397,-0.04,4.18
XO-4 b,4.1250823,0.0000039,0.0039,,88.7,1.1,2454485.933,0.00036,,,,,,,6400,-0.04,
XO-3 b,3.19153285,0.00000058,0.27587,0.00071,84.2,0.54,2455292.433,0.00015,,,,,349.35,0.67,6430,-0.177,
XO-3 b,3.19154,0.00014,0.29,0,79.32,1.36,,,4.95,0.18,,,,,6429,-0.18,3.95
XO-3 b,,,,,,,,,,,,,,,6673,-0.04,4.13
XO-3 b,,,,,,,,,,,0.0915,0.0006,,,6781,-0.08,4.23
XO-3 b,3.191523,,0.285,0.003,85.1,0.7,2454449.868,,,,0.1005,0.0019,348.9,1.5,,,
XO-3 b,3.1915239,0.0000068,0.26,0.017,84.2,0.54,2454449.868,0.00023,,,,,345.8,7.3,6429,,
XO-3 b,3.191561,0.000078,,,,,2458828.64,0.00031,7.09,0.24,0.0888,0.0011,,,6429,-0.18,3.95
XO-3 b,3.1915241,0.0000016,,,,,2459936.097,0.000229,,,,,,,6673,,4.13
XO-3 b,,,0.2833,0.0034,,,,,,,,,346.8,1.6,,-0.05,
XO-3 b,3.1915289,0.0000032,,,83.89,0.4,,,6.9109,0.2269,,,,,6429,-0.18,4.22
XO-3 b,3.19153247,0.00000055,0.2769,0.0017,84.11,0.16,2456419.044,0.00026,7.052,0.076,0.08825,0.00037,347.2,1.7,6673,-0.04,4.13
XO-3 b,3.1915426,0.00014,0.26,0.017,79.32,1.36,2454025.397,0.0038,,,,,-15.4,6.6,6429,-0.177,3.95
XO-3 b,3.191524,0.000001,,,,,2454178.589,0.00071,,,,,,,,,
XO-3 b,3.191525,0.0000003,,,,,2455024.343,0.00013,,,,,,,6429,-0.177,3.95
XO-2 S c,120.8,0.34,0.1528,0.0094,,,,,,,,,264.5,4.9,5399,0.39,4.43
XO-2 S b,18.157,0.034,0.18,0.04,,,,,,,,,,,5399,0.39,4.43
XO-2 S b,18.157,0.034,0.18,0.035,,,,,,,,,311.9,9.5,5399,0.39,4.43
XO-2 N b,2.61585978,0.00000019,,,,,2456923.177,0.00015,,,,,,,5340,,
XO-2 N b,2.615857,,,,88.9,0.6,,,8.2,0.1,0.10395,0.0009,,,5340,,
XO-2 N b,2.61585922,0.00000028,0.006,,87.96,0.42,2455565.546,0.000054,,,,,,,5332,0.43,
XO-2 N b,2.615864,0.0000016,,,,,2454466.885,0.00012,,,,,,,,,
XO-2 N b,2.61585922,0.00000028,0.006,,,,2455565.546,0.000054,,,,,,,5332,0.43,4.44
XO-2 N b,2.61585906,0.00000025,,,,,2456737.451,0.0002,,,,,,,,,
XO-2 N b,2.6158597,0.0000009,,,,,2459957.574,0.000204,,,,,,,5267,,4.32
XO-2 N b,2.615864,0.0000016,,,88.8,1.2,,,8.0841,0.3193,,,,,5340,0.45,4.44
XO-2 N b,2.615864,0.0000016,,,88.8,1.2,,,8.0841,0.3193,,,,,5340,0.45,4.44
XO-2 N b,2.61586178,,0,,88.01,,,,7.986,,,,,,5343,0.39,4.49
XO-2 N b,2.61586178,,,,88.01,0.33,2454508.738,0.00014,7.986,0.074,0.10304,0.00037,,,,,4.43
XO-2 N b,,,0.028,0.038,,,,,,,,,261,11,,0.35,
XO-2 N b,2.61585779,0.00000043,,,,,2455139.161,0.00013,,,0.1036,0.0013,,,5267,0.38,4.32
XO-1 b,3.941534,,,,88.81,0.7,,,11.55,0.03,0.1326,0.0004,,,,,
XO-1 b,3.9415041,0.0000019,,,,,2459713.292,0.000309,,,,,,,5729,,4.52
XO-1 b,3.941505,0.00000018,,,,,2455385.52,0.00005,,,,,,,,,
XO-1 b,3.941501,0.000001,,,,,2453808.917,0.00009,,,,,,,5729,-0.08,4.52
XO-1 b,3.94150465,0.00000041,,,,,2456055.576,0.00016,,,,,,,,,
XO-1 b,,,,,89.31,0.46,2453887.747,0.00014,,,0.13102,0.00064,,,,,
XO-1 b,3.94150685,0.00000202,0,,88.8,0.2,2453887.748,0.00025,,,,,,,5750,,
XO-1 b,3.941534,0.000027,,,87.7,1.2,2453808.917,0.0011,,,,,,,5750,0.015,4.43
XO-1 b,3.941516,0.000023,,,,,2458968.347,0.00014,11.04,0.28,0.1315,0.0016,,,5750,0.02,4.51
XO-1 b,3.94153,0.000027,0,,88.81,0.5,,,11.37,0.47,,,,,5750,0.02,4.51
XO-1 b,3.94150685,0.00000018,0.019,,88.81,0.7,2453887.748,0.00022,,,,,,,5750,0.02,
XO-1 b,3.9415128,0.0000028,,,89.06,0.84,,,11.287,0.247,,,,,5750,0.02,4.51
XO-1 b,3.941634,0.000137,,,88.92,1.04,2453150.685,0.0018,,,0.138,0.02,,,,,
XO-1 b,3.9415128,0.0000028,,,,,2453808.917,0.00013,,,,,,,5750,0.058,4.53
Wolf 503 b,6.00127,0.000021,0.409,0.085,89.87,0.13,2458191.361,0.00011,,,,,,,4716,-0.47,
Wolf 503 b,6.00118,0.00008,,,,,2458185.361,0.00053,,,0.02694,0.00026,,,4716,-0.47,4.62
Wolf 503 b,6.00127,0.000021,0.41,0.05,,,2458191.361,0.00011,,,0.02791,0.00049,112,10,4716,-0.47,4.62
Wolf 1069 b,15.564,0.015,,,,,,,,,,,,,3158,0.07,4.93
Wolf 1061 d,67.27,0.12,0.32,0.16,,,,,,,,,102,70,3393,,
Wolf 1061 d,217.21,0.55,0.55,0.08,,,,,,,,,,,3342,-0.09,
Wolf 1061 c,17.8719,0.0059,0.11,0.1,,,,,,,,,,,3342,-0.09,
Wolf 1061 c,17.867,0.011,0.19,0.13,,,,,,,,,37,47,3393,,
Wolf 1061 b,4.8869,0.0005,0.15,0.13,,,,,,,,,,,3342,-0.09,
Wolf 1061 b,4.8876,0.0014,0,,,,,,,,,,,,3393,,
Wendelstein-2 b,1.7522239,0.0000008,0.057,,87.87,0.98,2455679.254,0.000013,,,0.176,0.004,,,4591,,
Wendelstein-2 b,1.75221702,0.00001299,,,,,2459420.283,0.001505,,,,,,,4355,,4.53
Wendelstein-1 b,2.66341539,0.00000902,,,,,2459421.463,0.000738,,,,,,,4051,,4.55
Wendelstein-1 b,2.663416,0.000001,0.012,,86.12,0.43,2455367.738,0.000014,,,0.1698,0.001,,,4251,,
WTS-2 b,1.0187068,0.00000065,0.35,,83.55,0.53,2454317.813,0.00065,,,,,293,29,5000,0.2,
WTS-2 b,1.0187068,0.00000065,0,,83.55,0.53,2454317.813,0.00065,,,0.1863,0.0021,,,5000,0.2,4.6
WTS-2 b,1.01869894,0.00000389,,,,,2459769.924,0.002114,,,,,,,5780,,4.44
WTS-1 b,3.352057,0.000013,0.1,,85.5,1,2454318.747,0.0043,,,0.1328,0.0032,,,6250,-0.5,4.4
WISEP J121756.91+162640.2 A b,,,,,,,,,,,,,,,575,,5
WISE J033605.05-014350.4 b,2560,730,,,,,,,,,,,,,415,,
WD 1856+534 b,1.40793693,0.00000339,,,,,2459419.987,0.034628,,,,,,,5780,,4.44
WD 1856+534 b,1.4079405,0.0000011,0,,88.778,0.059,2458779.375,0.000003,336,14,7.28,0.65,,,4710,,7.92
WD 0806-661 b,,,,,,,,,,,,,,,,,
WD 0806-661 b,,,,,,,,,,,,,,,,,
WASP-99 b,5.75251,0.00004,0,,88.8,1.1,2456224.982,0.0014,,,,,,,6180,0.21,4.12
WASP-99 b,5.75251,0.00004,0.01,,88.8,1.1,2456224.983,0.0014,,,,,,,6150,0.21,
WASP-99 b,5.75258217,0.00000249,,,,,2459135.796,0.000239,,,,,,,6180,,4.12
WASP-99 b,5.7525835,0.0000024,,,,,2459141.549,0.00018,8.71,0.04,0.0678,0.0003,,,6150,0.21,4.3
WASP-99 b,5.75251,0.00004,0,,88.8,1.1,,,8.77,0.47,,,,,6150,0.21,4.3
WASP-99 b,5.7525907,0.0000026,,,,,2458387.959,0.0003,,,,,,,,,
WASP-98 b,2.9626415,0.0000004,,,,,2456840.004,0.00008,,,,,,,5525,-0.6,4.58
WASP-98 b,2.96264,0.0000013,0,,86.3,0.1,2456333.391,0.0001,,,,,,,5525,-0.6,4.58
WASP-98 b,2.9626402,0.00000149,,,,,2459168.639,0.000311,,,,,,,5473,,4.61
WASP-98 b,2.96264133,0.00000029,,,,,2458413.166,0.00013,,,,,,,,,
WASP-98 b,2.96264036,0.00000043,,,86.38,0.07,2456333.392,0.000082,10.92,0.08,0.15824,0.00081,,,5473,-0.49,4.61
